SiteId,Label,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_6010,'tō mukhō tou Arabikou kolpou',31.72,31.56
urn:cite:ptolemy:lonlat.pt_ll_6011,'tou kata Pharan akrōtēriou',32.8,30.60
urn:cite:ptolemy:lonlat.pt_ll_6012,'tēs epistrophēs',33.52,30.96
urn:cite:ptolemy:lonlat.pt_ll_6013,'hē men Pharan kōmē',32.8,30.72
urn:cite:ptolemy:lonlat.pt_ll_6014,'hē de Elana kōmē',33.28,31.14
urn:cite:ptolemy:lonlat.pt_ll_6015,'tmēmatos',36.4,32.04
urn:cite:ptolemy:lonlat.pt_ll_3981,'Eboda',32.98,32.04
urn:cite:ptolemy:lonlat.pt_ll_3982,'Maliattha',33.34,32.04
urn:cite:ptolemy:lonlat.pt_ll_5134,'Kalgouia',33.76,32.04
urn:cite:ptolemy:lonlat.pt_ll_3983,'Lusa',33.4,31.86
urn:cite:ptolemy:lonlat.pt_ll_5503,'Goubba',33.34,31.68
urn:cite:ptolemy:lonlat.pt_ll_3984,'Gupsaria',33.28,31.50
urn:cite:ptolemy:lonlat.pt_ll_3985,'Gerasa',33.16,31.32
urn:cite:ptolemy:lonlat.pt_ll_5504,'Petra',34.06,31.92
urn:cite:ptolemy:lonlat.pt_ll_3986,'Kharakōma',33.64,31.68
urn:cite:ptolemy:lonlat.pt_ll_3987,'Auara',33.64,31.44
urn:cite:ptolemy:lonlat.pt_ll_3988,'Zanaatha',34.06,31.56
urn:cite:ptolemy:lonlat.pt_ll_3989,'Adrou',34.24,31.62
urn:cite:ptolemy:lonlat.pt_ll_3990,'Zōara',34.48,32.04
urn:cite:ptolemy:lonlat.pt_ll_3991,'Thana',34.6,32.04
urn:cite:ptolemy:lonlat.pt_ll_3992,'Nekla',34.6,31.86
urn:cite:ptolemy:lonlat.pt_ll_3993,'Klētharrhō',34.84,31.92
urn:cite:ptolemy:lonlat.pt_ll_3994,'Moka',34.84,31.80
urn:cite:ptolemy:lonlat.pt_ll_5505,'Esbouta',35.56,32.40
urn:cite:ptolemy:lonlat.pt_ll_3995,'Ziza',35.62,32.40
urn:cite:ptolemy:lonlat.pt_ll_3996,'Magouza',34.96,32.22
urn:cite:ptolemy:lonlat.pt_ll_3997,'Mēdaua',35.32,32.22
urn:cite:ptolemy:lonlat.pt_ll_3998,'Ludia',35.68,32.16
urn:cite:ptolemy:lonlat.pt_ll_3999,'Rhab[m]athmōm',35.32,32.04
urn:cite:ptolemy:lonlat.pt_ll_4000,'Anitha',35.44,32.58
urn:cite:ptolemy:lonlat.pt_ll_6016,'Sourattha',35.86,32.52
urn:cite:ptolemy:lonlat.pt_ll_4001,'Bostra Legiōn',36.22,32.52
urn:cite:ptolemy:lonlat.pt_ll_4002,'Mesada',35.98,32.64
urn:cite:ptolemy:lonlat.pt_ll_4003,'Adra',36.16,32.64
urn:cite:ptolemy:lonlat.pt_ll_4004,'Korakē',34.96,32.46
urn:cite:ptolemy:lonlat.pt_ll_6089,'tou Indikou pelagous',60.88,24.48
urn:cite:ptolemy:lonlat.pt_ll_6090,'Dara potamou ekbolai',54.58,30.72
urn:cite:ptolemy:lonlat.pt_ll_6091,'Kathrapos potamou ekbolai',54.76,30.00
urn:cite:ptolemy:lonlat.pt_ll_4506,'Koriou potamou ekbolai',55.12,28.80
urn:cite:ptolemy:lonlat.pt_ll_4507,'Akhindana potamou ekbolai',55.6,28.92
urn:cite:ptolemy:lonlat.pt_ll_4508,'Andanios potamou ekbolai',55.12,28.08
urn:cite:ptolemy:lonlat.pt_ll_4509,'Saganou potamou ekbolai',54.88,27.72
urn:cite:ptolemy:lonlat.pt_ll_5579,'Harmouza polis',54.04,27.00
urn:cite:ptolemy:lonlat.pt_ll_4510,'Harmozon akron',53.68,27.12
urn:cite:ptolemy:lonlat.pt_ll_4511,'Karpelas akra',53.68,26.28
urn:cite:ptolemy:lonlat.pt_ll_4512,'Kanthatis polis',55.12,26.52
urn:cite:ptolemy:lonlat.pt_ll_4513,'Agris polis',55.36,26.64
urn:cite:ptolemy:lonlat.pt_ll_4514,'Kommana',55.96,26.64
urn:cite:ptolemy:lonlat.pt_ll_4515,'Rhogana',56.68,26.52
urn:cite:ptolemy:lonlat.pt_ll_4516,'Saralou potamou ekbolai',56.68,26.16
urn:cite:ptolemy:lonlat.pt_ll_4517,'Masin',57.28,26.28
urn:cite:ptolemy:lonlat.pt_ll_4518,'Samudakē',57.4,26.46
urn:cite:ptolemy:lonlat.pt_ll_5580,'Samudakous potamou ekbolai',58.36,26.16
urn:cite:ptolemy:lonlat.pt_ll_4519,'hai pēgai tou potamou',61.0,28.08
urn:cite:ptolemy:lonlat.pt_ll_4520,'Teisa polis',58.84,25.92
urn:cite:ptolemy:lonlat.pt_ll_4521,'Hudriakou potamou ekbolai',58.9,25.68
urn:cite:ptolemy:lonlat.pt_ll_5581,'Bagiaakra',58.72,25.20
urn:cite:ptolemy:lonlat.pt_ll_5141,'Kuiza limēn',58.9,24.96
urn:cite:ptolemy:lonlat.pt_ll_4522,'Alabageion akron',58.72,24.48
urn:cite:ptolemy:lonlat.pt_ll_4523,'Deranē Billa',59.08,24.60
urn:cite:ptolemy:lonlat.pt_ll_4524,'Kōphanta limēn',59.44,24.48
urn:cite:ptolemy:lonlat.pt_ll_4525,'Zōrombapotamou ekbolai',59.8,24.48
urn:cite:ptolemy:lonlat.pt_ll_4526,'Badara',60.16,24.60
urn:cite:ptolemy:lonlat.pt_ll_4527,'Mousarna',60.34,24.60
urn:cite:ptolemy:lonlat.pt_ll_6092,'tou Indikou pelagous peras',60.88,24.48
urn:cite:ptolemy:lonlat.pt_ll_6093,'tou skhēmatos',54.04,26.64
urn:cite:ptolemy:lonlat.pt_ll_6094,'hoi dutikōteroi tou Samudakous rheousi potamoi',64.48,28.80
urn:cite:ptolemy:lonlat.pt_ll_4528,'Portospana',55.12,30.72
urn:cite:ptolemy:lonlat.pt_ll_4529,'Karmana mētropolis',58.0,30.96
urn:cite:ptolemy:lonlat.pt_ll_4530,'Thaspis',56.56,30.00
urn:cite:ptolemy:lonlat.pt_ll_4531,'Nēpista',56.2,28.80
urn:cite:ptolemy:lonlat.pt_ll_4532,'Khodda',59.08,28.08
urn:cite:ptolemy:lonlat.pt_ll_5582,'Tarsiana',55.12,27.72
urn:cite:ptolemy:lonlat.pt_ll_5583,'Alexandreia',57.28,27.36
urn:cite:ptolemy:lonlat.pt_ll_4533,'Sabis',56.2,27.36
urn:cite:ptolemy:lonlat.pt_ll_4534,'Throaska',57.76,27.12
urn:cite:ptolemy:lonlat.pt_ll_4535,'Ora',59.68,27.12
urn:cite:ptolemy:lonlat.pt_ll_4536,'Kōphanta',59.62,26.64
urn:cite:ptolemy:lonlat.pt_ll_5584,'Sagdana, en hē Miltos',54.4,30.06
urn:cite:ptolemy:lonlat.pt_ll_4537,'Ouorokhtha',54.64,28.44
urn:cite:ptolemy:lonlat.pt_ll_4538,'Palla ē Polla',56.56,23.76
urn:cite:ptolemy:lonlat.pt_ll_4539,'Karminna',59.44,23.04
urn:cite:ptolemy:lonlat.pt_ll_4540,'Liba nēsos',60.88,23.76
