Urn,Site,Lon,Lat
urn:cite:ptolemy:lonlat.pt_ll_1118,'Albintimilion (Ἀλβιντιμίλιον)',7.6257720000000004,43.789145999999995
urn:cite:ptolemy:lonlat.pt_ll_1120,'Genoua (Γένουα)',8.9315500000000014,44.406231500000004
urn:cite:ptolemy:lonlat.pt_ll_1125,'Louna (Λοῦνα)',10.018635433333335,44.063739933333331
urn:cite:ptolemy:lonlat.pt_ll_1135,'Graouiskai (Γραουΐσκαι)',11.710278000000001,42.212778
urn:cite:ptolemy:lonlat.pt_ll_1138,'Alsion (Ἄλσιον)',12.102342,41.933732200000001
urn:cite:ptolemy:lonlat.pt_ll_1141,'Ōstia (Ὠστία)',12.288090500000001,41.751868999999999
urn:cite:ptolemy:lonlat.pt_ll_1142,'Antion (Ἄντιον)',12.628995,41.447949999999999
urn:cite:ptolemy:lonlat.pt_ll_1143,'Klōstra (Κλῶστρα)',12.872401,41.414937999999999
urn:cite:ptolemy:lonlat.pt_ll_1145,'Tarrakinai (Ταρρακῖναι)',13.254290096001851,41.291145188406546
urn:cite:ptolemy:lonlat.pt_ll_1146,'Phormiai (Φορμίαι)',13.601067,41.255654999999997
urn:cite:ptolemy:lonlat.pt_ll_1149,'Ouoltournon (Οὐόλτουρνον)',13.941734,41.033656999999998
urn:cite:ptolemy:lonlat.pt_ll_1150,'Liternon (Λίτερνον)',14.029821,40.921258999999999
urn:cite:ptolemy:lonlat.pt_ll_1151,'Koumai (Κοῦμαι)',14.053997000000001,40.848823000000003
urn:cite:ptolemy:lonlat.pt_ll_1152,'Misēnoi (Μισηνοί)',14.084884000000001,40.786279
urn:cite:ptolemy:lonlat.pt_ll_1153,'Pouteoloi (Πουτέολοι)',14.121868999999998,40.827956999999998
urn:cite:ptolemy:lonlat.pt_ll_1154,'Neapolis (Νεάπολις)',14.25287,40.839995000000002
urn:cite:ptolemy:lonlat.pt_ll_1156,'Sourrenton (Σούρρεντον)',14.365805999999999,40.624603999999998
urn:cite:ptolemy:lonlat.pt_ll_1157,'Salernon (Σάλερνον)',14.765922,40.677987999999999
urn:cite:ptolemy:lonlat.pt_ll_1159,'Paiston (Παῖστον)',15.004985249999999,40.420968250000001
urn:cite:ptolemy:lonlat.pt_ll_1170,'Lokroi (Λοκροὶ)',16.228784000000001,38.216171000000003
urn:cite:ptolemy:lonlat.pt_ll_1175,'Krotōn (Κρότων)',17.128851999999998,39.081572000000001
urn:cite:ptolemy:lonlat.pt_ll_1176,'Thourion (Θούριον)',16.490517000000001,39.715622000000003
urn:cite:ptolemy:lonlat.pt_ll_1177,'Taras (Τάρας)',17.228553000000002,40.476033999999999
urn:cite:ptolemy:lonlat.pt_ll_1181,'Brendesion (Βρενδέσιον)',17.946867000000001,40.641136000000003
urn:cite:ptolemy:lonlat.pt_ll_1182,'Egnatia (Ἐγνατία)',17.391887000000001,40.888325999999999
urn:cite:ptolemy:lonlat.pt_ll_1183,'Barion (Βάριον)',16.870331,41.129221999999999
urn:cite:ptolemy:lonlat.pt_ll_1191,'Bouka (Βοῦκα)',14.996484000000001,42.004313000000003
urn:cite:ptolemy:lonlat.pt_ll_1198,'Koupra Maritima (Κοῦπρα Μαρίτιμα)',13.85713,43.022546499999997
urn:cite:ptolemy:lonlat.pt_ll_1200,'Potentia (Ποτεντία)',15.801240999999999,40.637943999999997
urn:cite:ptolemy:lonlat.pt_ll_1201,'Noumana (Νουμάνα)',13.621420000000001,43.511271000000001
urn:cite:ptolemy:lonlat.pt_ll_1204,'Sēna Gallika (Σήνα Γάλλικα)',13.21799,43.714978000000002
urn:cite:ptolemy:lonlat.pt_ll_1205,'Phanon Phortounai (Φᾶνον Φορτοῦναι)',13.016921,43.844901999999998
urn:cite:ptolemy:lonlat.pt_ll_1206,'Pisauron (Πισαῦρον)',12.91577,43.912081000000001
urn:cite:ptolemy:lonlat.pt_ll_1207,'Ariminon (Ἀρίμινον)',12.5631945,44.058956500000001
urn:cite:ptolemy:lonlat.pt_ll_1208,'Rhaouenna (Ῥαουέννα)',12.200930157894737,44.41938652631579
urn:cite:ptolemy:lonlat.pt_ll_1359,'Tibour (Tibur) in Italia',12.79818,41.963602000000002
urn:cite:ptolemy:lonlat.pt_ll_1362,'Arikia (Aricia) in Italia',12.6726413,41.721108299999997
urn:cite:ptolemy:lonlat.pt_ll_1368,'Lanoubion (Lanuvium) in Italia',12.697592999999999,41.674703000000001
urn:cite:ptolemy:lonlat.pt_ll_1369,'Atina in Italia',15.556067000000001,40.454278000000002
urn:cite:ptolemy:lonlat.pt_ll_137,'Mintournai (Minturnae) in Italia',13.768185000000001,41.241973000000002
urn:cite:ptolemy:lonlat.pt_ll_1372,'Pherentinon (Ferentium) in Italia',12.132177,42.488590000000002
urn:cite:ptolemy:lonlat.pt_ll_1378,'Phoundoi (Fundi) in Italia',13.427922000000001,41.357429000000003
urn:cite:ptolemy:lonlat.pt_ll_1883,'Abdēra (Ἄβδηρα)',24.983332999999998,40.950000000000003
urn:cite:ptolemy:lonlat.pt_ll_1884,'Marōneia (Μαρώνεια)',25.511426,40.873750999999999
urn:cite:ptolemy:lonlat.pt_ll_1885,'Ainos polis (Αἶνος πόλις)',26.085729000000001,40.724898500000002
urn:cite:ptolemy:lonlat.pt_ll_190,'Kartēia (Καρτηΐα)',-5.4103589999999997,36.183163
urn:cite:ptolemy:lonlat.pt_ll_194,'Malaka (Μάλακα)',-4.4201629999999996,36.719658000000003
urn:cite:ptolemy:lonlat.pt_ll_195,'Mainoba (Μαίνοβα)',-4.1006780000000003,36.778640000000003
urn:cite:ptolemy:lonlat.pt_ll_1963,'Stageira (Στάγειρα)',23.795768999999996,40.592218000000003
urn:cite:ptolemy:lonlat.pt_ll_1969,'Akanthos (Ἄκανθος)',23.880112,40.399749999999997
urn:cite:ptolemy:lonlat.pt_ll_1970,'Siggos (Σίγγος)',23.721477,40.249169999999999
urn:cite:ptolemy:lonlat.pt_ll_1973,'Torōnē (Τορώνη)',23.900812299999998,39.977053400000003
urn:cite:ptolemy:lonlat.pt_ll_1978,'Thessalonikē (Θεσσαλονίκη)',22.949569,40.630282000000001
urn:cite:ptolemy:lonlat.pt_ll_1990,'Iōlkos (Ἰωλκός)',22.968859999999999,39.366304999999997
urn:cite:ptolemy:lonlat.pt_ll_1991,'Pagasai (Παγασαί)',22.944398,39.310841000000003
urn:cite:ptolemy:lonlat.pt_ll_1994,'Larissa (Λάρισσα)',22.415323000000001,39.640287999999998
urn:cite:ptolemy:lonlat.pt_ll_206,'Kalpourniana (Καλπουρνιάνα)',-4.3188420000000001,37.867376
urn:cite:ptolemy:lonlat.pt_ll_2060,'Mieza (Μίεζα)',22.122616000000004,40.644801999999999
urn:cite:ptolemy:lonlat.pt_ll_2064,'Edessa (Ἔδεσσα)',22.057183999999996,40.797176
urn:cite:ptolemy:lonlat.pt_ll_2065,'Beroia (Βέροια)',22.204993000000002,40.524527999999997
urn:cite:ptolemy:lonlat.pt_ll_2066,'Aigaia (Αἰγαία)',22.321871999999999,40.480091999999999
urn:cite:ptolemy:lonlat.pt_ll_2067,'Pella (Πέλλα)',22.75,40.75
urn:cite:ptolemy:lonlat.pt_ll_2078,'Larissa (Λάρισσα)',22.415323000000001,39.640287999999998
urn:cite:ptolemy:lonlat.pt_ll_2079,'Pherai (Φεραί)',22.753851000000001,39.379043000000003
urn:cite:ptolemy:lonlat.pt_ll_2082,'Gomphoi (Γόμφοι)',21.676805999999999,39.436045
urn:cite:ptolemy:lonlat.pt_ll_209,'Kordubē (Κορδύβη)',-4.7791709999999998,37.884683000000003
urn:cite:ptolemy:lonlat.pt_ll_2150,'Siphai (Σῖφαι)',23.036560999999999,38.181241999999997
urn:cite:ptolemy:lonlat.pt_ll_2153,'Eleusis (Ἐλευσίς)',23.537400999999999,38.041100999999998
urn:cite:ptolemy:lonlat.pt_ll_2164,'Ōrōpos (Ὠρωπός)',23.789998500000003,38.319463499999998
urn:cite:ptolemy:lonlat.pt_ll_2165,'Aulis (Αὐλίς)',23.5936545,38.430259500000005
urn:cite:ptolemy:lonlat.pt_ll_2167,'Salganeus (Σαλγανεύς)',23.508527000000001,38.476756999999999
urn:cite:ptolemy:lonlat.pt_ll_2168,'Anthēdōn (Ἀνθηδών)',23.451654999999999,38.497692999999998
urn:cite:ptolemy:lonlat.pt_ll_2169,'Phōkai (Φῶκαι)',23.324625000000001,38.503191999999999
urn:cite:ptolemy:lonlat.pt_ll_2185,'Ōlenos (Ὤλενος)',21.640599000000002,38.153706999999997
urn:cite:ptolemy:lonlat.pt_ll_2186,'Kaludōn (Καλυδών)',21.533106,38.372422999999998
urn:cite:ptolemy:lonlat.pt_ll_2190,'Lilaia (Λίλαια)',22.5012665,38.631982800000003
urn:cite:ptolemy:lonlat.pt_ll_2191,'Amphissa (Ἄμφισσα)',22.374172000000002,38.518402999999999
urn:cite:ptolemy:lonlat.pt_ll_2194,'Delphoi (Δελφοί)',22.501169000000001,38.482289000000002
urn:cite:ptolemy:lonlat.pt_ll_2195,'Daulis (Δαυλίς)',22.734938,38.511067499999996
urn:cite:ptolemy:lonlat.pt_ll_2197,'Aigostheneia (Αἰγοσθένεια)',23.2294868,38.1497606
urn:cite:ptolemy:lonlat.pt_ll_2200,'Thisbē (Θίσβη)',22.971758000000005,38.256503000000002
urn:cite:ptolemy:lonlat.pt_ll_2201,'Thespiai (Θεσπιαί)',23.1528615,38.295831
urn:cite:ptolemy:lonlat.pt_ll_2204,'Huampolis (Ὑάμπολις)',22.915278000000001,38.591667000000001
urn:cite:ptolemy:lonlat.pt_ll_2205,'Khairōneia (Χαιρώνεια)',22.841628,38.494419000000001
urn:cite:ptolemy:lonlat.pt_ll_2206,'Lebadeia (Λεβάδεια)',22.874961499999998,38.435374499999995
urn:cite:ptolemy:lonlat.pt_ll_2207,'Kōpai (Κῶπαι)',23.163284999999998,38.501525000000001
urn:cite:ptolemy:lonlat.pt_ll_2208,'Haliartos (Ἁλίαρτος)',23.086943999999999,38.377777999999999
urn:cite:ptolemy:lonlat.pt_ll_2209,'Plataiai (Πλαταιαί)',23.273344999999996,38.221257000000001
urn:cite:ptolemy:lonlat.pt_ll_2211,'Tanagra (Τάναγρα)',23.581173000000003,38.300198333333334
urn:cite:ptolemy:lonlat.pt_ll_2216,'Athēnai (Ἀθῆναι)',23.723985181818183,37.972746545454555
urn:cite:ptolemy:lonlat.pt_ll_2217,'Rhamnous (Ῥαμνοῦς)',24.028009000000001,38.222726999999999
urn:cite:ptolemy:lonlat.pt_ll_2218,'Marathōn (Μαραθών)',23.970146,38.146551500000001
urn:cite:ptolemy:lonlat.pt_ll_2219,'Anaphlustos (Ἀνάφλυστος)',23.950818499999997,37.727320500000005
urn:cite:ptolemy:lonlat.pt_ll_2224,'Eretria (Ἐρέτρια)',23.790534999999995,38.398169000000003
urn:cite:ptolemy:lonlat.pt_ll_2225,'Amarunthos (Ἀμάρυνθος)',23.894807,38.391637000000003
urn:cite:ptolemy:lonlat.pt_ll_2228,'Karustos (Κάρυστος)',24.420380999999999,38.016540999999997
urn:cite:ptolemy:lonlat.pt_ll_2234,'Kērinthos (Κήρινθος)',23.48282,38.825074999999998
urn:cite:ptolemy:lonlat.pt_ll_2247,'Androu nÄ“sou ho prosormos (Andros) in achaea',24.859999999999999,37.850000000000001
urn:cite:ptolemy:lonlat.pt_ll_2248,'Androu nÄ“sou hÄ“ polis (Zagora) in achaea',24.859999999999999,37.850000000000001
urn:cite:ptolemy:lonlat.pt_ll_2249,'TÄ“nou nÄ“sou hÄ“ polis (Tenos) in achaea',25.114000000000001,37.606999999999999
urn:cite:ptolemy:lonlat.pt_ll_2250,'Surou nÄ“sou hÄ“ polis (Syros) in achaea',24.920000000000002,37.43
urn:cite:ptolemy:lonlat.pt_ll_2251,'DÄ“lou nÄ“sou hÄ“ polis (Donousa) in achaea',25.75,37.25
urn:cite:ptolemy:lonlat.pt_ll_2252,'ÅŒliaros (Oliaros) in achaea',25.045100000000001,37.000599999999999
urn:cite:ptolemy:lonlat.pt_ll_2253,'Kuthnos (Kythnos) in achea',24.389028700000001,37.384716500000003
urn:cite:ptolemy:lonlat.pt_ll_2254,'Rhene (Rheneia) in achaea',25.213287000000001,37.412059999999997
urn:cite:ptolemy:lonlat.pt_ll_2255,'Phorbia akra (Phorbia) in achaea',25.370000000000001,37.439999999999998
urn:cite:ptolemy:lonlat.pt_ll_2256,'Mukonou he polis (Mykonos) in achaea',25.370000000000001,37.439999999999998
urn:cite:ptolemy:lonlat.pt_ll_2257,'Naxou nesou he polis (Naxos) in achaea',25.489999999999998,37.049999999999997
urn:cite:ptolemy:lonlat.pt_ll_2258,'Parou nesou he polis (Paros) in achaea',25.190000000000001,37.049999999999997
urn:cite:ptolemy:lonlat.pt_ll_2259,'to Sounion autÄ“s akron (Sounion) in achaea',24.035919499999999,37.683423000000005
urn:cite:ptolemy:lonlat.pt_ll_2260,'Siphnou nÄ“sou hÄ“ polis (Siphnos) in achaea',24.666667,36.983333000000002
urn:cite:ptolemy:lonlat.pt_ll_2262,'Pholekandrou (Pholegandros) in achaea',24.899999999999999,36.616667
urn:cite:ptolemy:lonlat.pt_ll_2263,'Sikinou (Sikinos) in achaea',25.116667,36.683332999999998
urn:cite:ptolemy:lonlat.pt_ll_2895,'Neilou polis in marmarice',29.656393999999999,30.994820000000001
urn:cite:ptolemy:lonlat.pt_ll_2896,'AphroditÄ“s polis in marmarice (Aphroditopolis)',31.416623000000001,26.833144999999998
urn:cite:ptolemy:lonlat.pt_ll_2897,'Aggurōn ē Agkurōn polis in marmarice (Tocra)',20.565847000000002,32.537142000000003
urn:cite:ptolemy:lonlat.pt_ll_2905,'Tentura in marmarice (Tentyra)',32.670097222222218,26.141774999999999
urn:cite:ptolemy:lonlat.pt_ll_2924,'Suēnē (Συήνη)',32.898040000000002,24.081157999999999
urn:cite:ptolemy:lonlat.pt_ll_3271,'Telmēssos (Τελμησσός)',29.105772000000002,36.620899000000001
urn:cite:ptolemy:lonlat.pt_ll_3274,'Antiphellos (Ἀντίφελλος)',29.634934999999999,36.199973
urn:cite:ptolemy:lonlat.pt_ll_3275,'Andriakē (Ἀνδριάκη)',29.955110000000001,36.225751000000002
urn:cite:ptolemy:lonlat.pt_ll_3280,'Phasēlis (Φασηλίς)',30.551573000000001,36.524579000000003
urn:cite:ptolemy:lonlat.pt_ll_3285,'Siduma (Σίδυμα)',29.191693999999998,36.410249999999998
urn:cite:ptolemy:lonlat.pt_ll_3286,'Pinara (Πινάρα)',29.256891,36.489654999999999
urn:cite:ptolemy:lonlat.pt_ll_3287,'Araxa (Ἄραξα)',29.369329000000004,36.745486999999997
urn:cite:ptolemy:lonlat.pt_ll_3288,'Xanthos (Ξάνθος)',29.318359999999998,36.355933999999998
urn:cite:ptolemy:lonlat.pt_ll_3289,'Korudalla (Κορύδαλλα)',30.273281000000001,36.376674000000001
urn:cite:ptolemy:lonlat.pt_ll_3291,'Trebendai (Τρεβένδαι)',29.930819,36.269278
urn:cite:ptolemy:lonlat.pt_ll_3292,'Phellos (Φελλός)',29.662237000000001,36.242820999999999
urn:cite:ptolemy:lonlat.pt_ll_3293,'Mura (Μύρα)',29.985558999999999,36.258392999999998
urn:cite:ptolemy:lonlat.pt_ll_3294,'Limura (Λιμύρα)',30.171189999999999,36.343745333333331
urn:cite:ptolemy:lonlat.pt_ll_3295,'Podalaia (Ποδαλαία)',30.052252999999997,36.685847000000003
urn:cite:ptolemy:lonlat.pt_ll_3297,'Khōma (Χῶμα)',29.820042000000001,36.63608
urn:cite:ptolemy:lonlat.pt_ll_3299,'Boubōn (Βουβών)',29.407827999999999,36.968283
urn:cite:ptolemy:lonlat.pt_ll_3300,'Oineanda (Οἰνεάνδα)',29.549676999999999,36.809337999999997
urn:cite:ptolemy:lonlat.pt_ll_3301,'Balboura (Βάλβουρα)',29.581138999999997,36.955219999999997
urn:cite:ptolemy:lonlat.pt_ll_3319,'Amisos (Ἀμισός)',36.331299999999999,41.292721
urn:cite:ptolemy:lonlat.pt_ll_3333,'Pessinous (Πεσσινοῦς)',31.5840909,39.334237899999998
